comparison,gt_label,top_pred_label,top_pred_share
gt_vs_openface,Curious,Neutral,0.5246
gt_vs_openface,Confused,Neutral,0.3830
gt_vs_openface,Disengaged,Neutral,0.3750
gt_vs_openface,Surprised,Neutral,0.3846
gt_vs_openface,Conflicted,Neutral,0.5625
gt_vs_openface,Optimistic,Neutral,0.4462
gt_vs_openface,Frustrated,Neutral,0.4615
gt_vs_libreface,Curious,Neutral,0.5068
gt_vs_libreface,Confused,Neutral,0.4259
gt_vs_libreface,Disengaged,Neutral,0.5882
gt_vs_libreface,Surprised,Neutral,0.5333
gt_vs_libreface,Conflicted,Happy,0.5217
gt_vs_libreface,Optimistic,Sad,0.4615
gt_vs_libreface,Frustrated,Neutral,0.4375
